Lobster Spinach Queso,19.15,Firebirds Wood Fired Grill
Bacon Deviled Eggs,14.50,Firebirds Wood Fired Grill
Ranch Rings,13.75,Firebirds Wood Fired Grill
Philly Cheesesteak Egg Rolls,18.50,Firebirds Wood Fired Grill
Smoked Chicken Wings,18.85,Firebirds Wood Fired Grill
Seared Ahi Tuna*,22.50,Firebirds Wood Fired Grill
Wood Grilled Chimichurri Shrimp,17.25,Firebirds Wood Fired Grill
Chicken Tortilla Soup (Cup),8.00,Firebirds Wood Fired Grill
Chicken Tortilla Soup (Bowl),9.00,Firebirds Wood Fired Grill
Firebirds Chili (Cup),8.00,Firebirds Wood Fired Grill
Firebirds Chili (Bowl),9.00,Firebirds Wood Fired Grill
Three Courses,39.95,Firebirds Wood Fired Grill
Filet Mignon* (7 oz.),38.95,Firebirds Wood Fired Grill
Filet Mignon* (9 oz.),41.95,Firebirds Wood Fired Grill
Aged Ribeye* (12 oz.),38.95,Firebirds Wood Fired Grill
Aged Ribeye* (16 oz.),46.50,Firebirds Wood Fired Grill
Roasted Garlic Sirloin* (10 oz.),28.95,Firebirds Wood Fired Grill
Filet & Shrimp* (7 oz.),45.95,Firebirds Wood Fired Grill
Filet & Shrimp* (9 oz.),49.95,Firebirds Wood Fired Grill
Surf & Turf* (7 oz.),68.55,Firebirds Wood Fired Grill
Surf & Turf* (9 oz.),72.55,Firebirds Wood Fired Grill
Cajun Ribeye* (12 oz.),40.95,Firebirds Wood Fired Grill
Cajun Ribeye* (16 oz.),48.50,Firebirds Wood Fired Grill
Wood Grilled NY Strip* (14 oz.),35.95,Firebirds Wood Fired Grill
Slow Roasted Prime Rib*,41.95,Firebirds Wood Fired Grill
Butcher's Meatloaf,26.95,Firebirds Wood Fired Grill
Tomahawk Pork Chop,30.75,Firebirds Wood Fired Grill
Wood Grilled Salmon*,33.70,Firebirds Wood Fired Grill
Lobster Fondue Salmon*,37.50,Firebirds Wood Fired Grill
Baja Shrimp Pasta,29.95,Firebirds Wood Fired Grill
Chilean Sea Bass,39.95,Firebirds Wood Fired Grill
Honey Garlic Chicken,24.45,Firebirds Wood Fired Grill
Parmesan Crusted Chicken,26.85,Firebirds Wood Fired Grill
Firebirds Chicken Pasta,25.55,Firebirds Wood Fired Grill
Baby Back Ribs (Full),31.50,Firebirds Wood Fired Grill
Roasted Chicken,27.95,Firebirds Wood Fired Grill
Steak Penne*,27.95,Firebirds Wood Fired Grill
Durango Burger*,18.95,Firebirds Wood Fired Grill
Cheeseburger*,18.25,Firebirds Wood Fired Grill
Add bacon,2.00,Firebirds Wood Fired Grill
Smokehouse Burger*,19.25,Firebirds Wood Fired Grill
Hot Honey Chicken Sandwich,18.75,Firebirds Wood Fired Grill
Colorado Chicken Salad,19.95,Firebirds Wood Fired Grill
Grilled Tenderloin Salad*,27.95,Firebirds Wood Fired Grill
Ahi Tuna Superfoods Salad*,24.75,Firebirds Wood Fired Grill
Grilled Salmon Salad*,22.95,Firebirds Wood Fired Grill
Add Chile Rub,2.00,Firebirds Wood Fired Grill
Spinach & Salmon Salad*,24.75,Firebirds Wood Fired Grill
Grilled Shrimp & Strawberry Salad,21.55,Firebirds Wood Fired Grill
Mixed Greens Salad,13.75,Firebirds Wood Fired Grill
BLT Salad,13.75,Firebirds Wood Fired Grill
Caesar Salad,13.75,Firebirds Wood Fired Grill
Fresh Vegetables,6.95,Firebirds Wood Fired Grill
Broccoli,6.95,Firebirds Wood Fired Grill
Loaded Baked Potato,6.95,Firebirds Wood Fired Grill
Parmesan Mashed Potatoes,6.95,Firebirds Wood Fired Grill
Seasoned Steak Fries,6.95,Firebirds Wood Fired Grill
Tater Tots,6.95,Firebirds Wood Fired Grill
Cider Slaw,6.95,Firebirds Wood Fired Grill
Fresh Fruit,6.95,Firebirds Wood Fired Grill
Seasonal Grain Pilaf,6.95,Firebirds Wood Fired Grill
Side Entree (Choose any 3 sides),18.50,Firebirds Wood Fired Grill
Southwest Au Gratin Potatoes,7.95,Firebirds Wood Fired Grill
Port Mushrooms,7.95,Firebirds Wood Fired Grill
Grilled Street Corn,7.95,Firebirds Wood Fired Grill
Charred Carrots,7.95,Firebirds Wood Fired Grill
Creme Brulée Cheesecake,10.75,Firebirds Wood Fired Grill
Chocolate Brownie Sundae,10.75,Firebirds Wood Fired Grill
Big Daddy Chocolate Cake,11.95,Firebirds Wood Fired Grill
Carrot Cake,10.75,Firebirds Wood Fired Grill
5 Layer Lemon Cake,10.75,Firebirds Wood Fired Grill
Double Black Diamond Martini,12.50,Firebirds Wood Fired Grill
Lemonade Drop,12.00,Firebirds Wood Fired Grill
Dirty Bird,13.00,Firebirds Wood Fired Grill
Siesta Sangria,12.75,Firebirds Wood Fired Grill
Firebirds Perfect Margarita,13.00,Firebirds Wood Fired Grill
Moscow Mule,12.50,Firebirds Wood Fired Grill
Charred Pineapple Agua Fresca,5.95,Firebirds Wood Fired Grill
Mint Condition,5.95,Firebirds Wood Fired Grill
Main Squeeze,5.95,Firebirds Wood Fired Grill
Quesabirrias de Res,14.99,La Buena Vida - Raleigh
Birria Quesadilla,14.99,La Buena Vida - Raleigh
Chicken Rolls,9.99,La Buena Vida - Raleigh
Cheese Dip,7.99,La Buena Vida - Raleigh
Bigmak Tacos,9.99,La Buena Vida - Raleigh
Octopus Aguachile,16.99,La Buena Vida - Raleigh
Arrachera Aguachile,17.99,La Buena Vida - Raleigh
Chicken Rolls,9.99,La Buena Vida - Raleigh
Cheese Dip,7.99,La Buena Vida - Raleigh
Chicken wings,12.99,La Buena Vida - Raleigh
Corn on the cob,4.99,La Buena Vida - Raleigh
Birria rolls,11.99,La Buena Vida - Raleigh
Guacamole,10.99,La Buena Vida - Raleigh
Empanadas De Camaron,14.99,La Buena Vida - Raleigh
Empanadas De Tinga,13.99,La Buena Vida - Raleigh
Camarones Roca,14.99,La Buena Vida - Raleigh
Taquitos Ahogados,9.99,La Buena Vida - Raleigh
Brussel Sprouts,9.99,La Buena Vida - Raleigh
Queso Fundido Gobernador,14.99,La Buena Vida - Raleigh
Gambas Al Ajillo,17.99,La Buena Vida - Raleigh
Chorizo Dip,9.99,La Buena Vida - Raleigh
Taquitos Buena Vida,13.99,La Buena Vida - Raleigh
Birria Quesadilla,14.99,La Buena Vida - Raleigh
Chimichanga,14.99,La Buena Vida - Raleigh
Buena Vida Burrito,16.99,La Buena Vida - Raleigh
ACP,0.00,La Buena Vida - Raleigh
Fajitas,0.00,La Buena Vida - Raleigh
Choripollo,14.99,La Buena Vida - Raleigh
Quesadilla,14.99,La Buena Vida - Raleigh
Fajita Quesadilla,15.99,La Buena Vida - Raleigh
Nachos,18.99,La Buena Vida - Raleigh
Rib eye Asada Burrito,18.99,La Buena Vida - Raleigh
Quesabirrias de Res,14.99,La Buena Vida - Raleigh
Steak Tacos,18.99,La Buena Vida - Raleigh
Pork Belly Tacos,17.99,La Buena Vida - Raleigh
Carnitas Tacos,14.99,La Buena Vida - Raleigh
Agave Chicken Tacos,14.99,La Buena Vida - Raleigh
Tacos Camaron,15.99,La Buena Vida - Raleigh
Tinga Tacos,11.99,La Buena Vida - Raleigh
Tacos Pastor,14.99,La Buena Vida - Raleigh
Tacos de Red Snapper,18.00,La Buena Vida - Raleigh
Tacos Smokey Asada,17.99,La Buena Vida - Raleigh
Tacos Buchon,19.99,La Buena Vida - Raleigh
Taco Rib Eye,17.99,La Buena Vida - Raleigh
Veggies Tacos,13.99,La Buena Vida - Raleigh
Tacos Pescado,18.99,La Buena Vida - Raleigh
Fried Avocado Tacos,16.99,La Buena Vida - Raleigh
Costra Tacos,19.99,La Buena Vida - Raleigh
Chicken Soup,7.00,La Buena Vida - Raleigh
Ensalada Cesar,10.99,La Buena Vida - Raleigh
Enchiladas Trio,14.99,La Buena Vida - Raleigh
Pasta De Poblano,18.99,La Buena Vida - Raleigh
Chilaquiles,17.99,La Buena Vida - Raleigh
Steak A La Mexicana,20.99,La Buena Vida - Raleigh
Enchiladas De Langosta,19.99,La Buena Vida - Raleigh
Pasta De Langosta,33.99,La Buena Vida - Raleigh
Tiras De Pollo,15.99,La Buena Vida - Raleigh
Enchiladas Verdes,14.99,La Buena Vida - Raleigh
Molcajete Presidencial,28.99,La Buena Vida - Raleigh
Platano Relleno,18.99,La Buena Vida - Raleigh
Plato Carnitas,15.99,La Buena Vida - Raleigh
Wagyu Hamburger Buena Vida,18.99,La Buena Vida - Raleigh
Enchiladas Chipotle,14.99,La Buena Vida - Raleigh
Flautas,15.99,La Buena Vida - Raleigh
Chicken Waffle Sandwich,15.99,La Buena Vida - Raleigh
Molcajete Del Mar,38.99,La Buena Vida - Raleigh
Ceviche Tropical,19.99,La Buena Vida - Raleigh
Ceviche Buena Vida,19.99,La Buena Vida - Raleigh
Aguachile De Camaron,17.99,La Buena Vida - Raleigh
Coctel Camaron,18.99,La Buena Vida - Raleigh
Camarones Al Coco,18.99,La Buena Vida - Raleigh
Aguachile Mixto,19.99,La Buena Vida - Raleigh
Ceviche Tulum,15.99,La Buena Vida - Raleigh
Mojarra Frita,19.99,La Buena Vida - Raleigh
SALMON FRESCO (Tropical),25.99,La Buena Vida - Raleigh
Coca-Cola,3.25,La Buena Vida - Raleigh
Sprite,3.25,La Buena Vida - Raleigh
Diet Coke,3.25,La Buena Vida - Raleigh
Coca-Cola Zero Sugar,3.25,La Buena Vida - Raleigh
Mexican Coke,5.50,La Buena Vida - Raleigh
Topo Chico,4.50,La Buena Vida - Raleigh
Agua Fresca,4.99,La Buena Vida - Raleigh
Pink Lemonade,3.25,La Buena Vida - Raleigh
Dr Pepper,3.25,La Buena Vida - Raleigh
Fanta,3.25,La Buena Vida - Raleigh
Mtn Dew,3.25,La Buena Vida - Raleigh
Sweet Tea,3.25,La Buena Vida - Raleigh
Unsweet Tea,3.25,La Buena Vida - Raleigh
Red Bull,7.00,La Buena Vida - Raleigh
Fevertree Ginger Ale,4.00,La Buena Vida - Raleigh
Jugo Pina,5.00,La Buena Vida - Raleigh
Bottled Water,5.00,La Buena Vida - Raleigh
Pina Colada Virgen,11.50,La Buena Vida - Raleigh
